,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_transaction_count,consequent_transaction_count
82,frozenset({'cookies'}),"frozenset({'bread', 'cakes'})",0.13150044344110295,0.022252680803031524,0.005401918890590986,0.041079092581238506,1.8460289321923957,0.0024756814972390216,1.0196329140730533,0.5276878696011218,"(1631,)","(1595, 6073)"
79,"frozenset({'bread', 'cakes'})",frozenset({'cookies'}),0.022252680803031524,0.13150044344110295,0.005401918890590986,0.2427536231884058,1.8460289321923955,0.0024756814972390216,1.1469180746902181,0.46872711563810376,"(1595, 6073)","(1631,)"
77,frozenset({'squares'}),frozenset({'savoury'}),0.025477707006369428,0.1451261791502056,0.0066113037168427,0.25949367088607594,1.7880555555555555,0.002913821445499882,1.1544449888398933,0.4522556990275785,"(316,)","(1800,)"
76,frozenset({'savoury'}),frozenset({'squares'}),0.1451261791502056,0.025477707006369428,0.0066113037168427,0.04555555555555556,1.7880555555555555,0.002913821445499882,1.0210361626242928,0.5155535823961466,"(1800,)","(316,)"
44,frozenset({'cookies'}),frozenset({'catering'}),0.13150044344110295,0.07619124405385794,0.017657018463275016,0.1342734518700184,1.7623212947553843,0.007637836083863397,1.0670907088867974,0.4980619464975151,"(1631,)","(945,)"
45,frozenset({'catering'}),frozenset({'cookies'}),0.07619124405385794,0.13150044344110295,0.017657018463275016,0.23174603174603176,1.7623212947553843,0.007637836083863397,1.1304849599836884,0.4682425630713243,"(945,)","(1631,)"
111,frozenset({'cookies'}),"frozenset({'cakes', 'savoury'})",0.13150044344110295,0.023220188664032894,0.005240667580424091,0.039852851011649294,1.7163017746440494,0.0021872024743176933,1.0173230346672812,0.4805435745094119,"(1631,)","(6073, 1800)"
110,"frozenset({'cakes', 'savoury'})",frozenset({'cookies'}),0.023220188664032894,0.13150044344110295,0.005240667580424091,0.22569444444444445,1.7163017746440494,0.0021872024743176933,1.1216496515200105,0.4272732467697387,"(6073, 1800)","(1631,)"
118,frozenset({'cookies'}),"frozenset({'pie', 'savoury'})",0.13150044344110295,0.03184713375796178,0.007175683302426832,0.054567749846719804,1.713427345187002,0.0029877710909267385,1.0240319875750743,0.4794181335714316,"(1631,)","(2643, 1800)"
115,"frozenset({'pie', 'savoury'})",frozenset({'cookies'}),0.03184713375796178,0.13150044344110295,0.007175683302426832,0.22531645569620254,1.713427345187002,0.0029877710909267385,1.1211023687606678,0.43007096392667066,"(2643, 1800)","(1631,)"
62,frozenset({'loaf'}),frozenset({'savoury'}),0.021285172942030153,0.1451261791502056,0.005240667580424091,0.24621212121212122,1.6965382996632998,0.0021516317587959143,1.1341039633384207,0.4194934318502982,"(264,)","(1800,)"
63,frozenset({'savoury'}),frozenset({'loaf'}),0.1451261791502056,0.021285172942030153,0.005240667580424091,0.03611111111111111,1.6965382996632996,0.0021516317587959143,1.015381376774839,0.4802632056239527,"(1800,)","(264,)"
31,frozenset({'savoury'}),frozenset({'breakfast'}),0.1451261791502056,0.03813593485447069,0.009352575989679916,0.06444444444444444,1.6898614047451257,0.003818053475929433,1.028120734716124,0.4775388878228999,"(1800,)","(473,)"
30,frozenset({'breakfast'}),frozenset({'savoury'}),0.03813593485447069,0.1451261791502056,0.009352575989679916,0.2452431289640592,1.6898614047451257,0.003818053475929433,1.1326479475124727,0.42442119258895283,"(473,)","(1800,)"
90,"frozenset({'pie', 'bread'})",frozenset({'cookies'}),0.038458437474804485,0.13150044344110295,0.008465693783761993,0.220125786163522,1.6739547061840363,0.0034083922017732714,1.1136405604263278,0.4187154117055173,"(2643, 1595)","(1631,)"
95,frozenset({'cookies'}),"frozenset({'pie', 'bread'})",0.13150044344110295,0.038458437474804485,0.008465693783761993,0.06437768240343347,1.6739547061840363,0.0034083922017732714,1.0277026792127089,0.46357222428518374,"(1631,)","(2643, 1595)"
23,frozenset({'squares'}),frozenset({'bread'}),0.025477707006369428,0.12859791985809885,0.005482544545674433,0.2151898734177215,1.6733542319749215,0.002206164421901214,1.1103349085679064,0.41291810841983845,"(316,)","(1595,)"
