product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Appetizer Platter,Bread & Butter Bakery and Fine Pastries,Savoury,54,2016.000,0.000,-72.000,1944.000,0.000,1944.000
Mac & Cheese,Bread & Butter Bakery and Fine Pastries,Savoury,155,2041.250,0.000,-101.250,1940.000,0.000,1940.000
Banana Bread,Bread & Butter Bakery and Fine Pastries,loaf,156,1937.150,0.000,-12.950,1924.200,0.000,1924.200
Dinner Rolls,Bread & Butter Bakery and Fine Pastries,Bread,324,2138.500,-192.400,-32.500,1913.600,0.000,1913.600
Easter Basket Cake,Bread & Butter,Cakes,47,1960.000,-8.000,-80.000,1872.000,0.000,1872.000
Delivery Charge,Bread & Butter Bakery and Fine Pastries,,144,1606.000,0.000,-22.000,1584.000,194.920,1778.920
Warm Spinach & Artichoke Dip,Bread & Butter Bakery and Fine Pastries,Savoury,107,1665.000,-30.000,-60.000,1575.000,201.600,1776.600
$50 Gift card,,,35,1750.000,0.000,0.000,1750.000,0.000,1750.000
6 Oatmeal Raisin Cookies,Bread & Butter Bakery and Fine Pastries,Cookies,168,1963.650,-210.900,-12.150,1740.600,0.000,1740.600
Chocolate Chip Cookie Cake,Bread & Butter Bakery and Fine Pastries,Cookies,82,1830.700,-11.960,-79.800,1738.940,0.000,1738.940
6 Cheddar & Herb Scones,Bread & Butter Bakery and Fine Pastries,scones,66,1817.750,0.000,-80.750,1737.000,0.000,1737.000
6 Sprinkle Shortbread,Bread & Butter Bakery and Fine Pastries,Cookies,189,1798.000,-62.250,-9.000,1726.750,0.000,1726.750
6 Brownies,Bread & Butter Bakery and Fine Pastries,Squares,95,1886.000,-99.500,-87.500,1699.000,0.000,1699.000
6 Raspberry Brownies,Bread & Butter Bakery and Fine Pastries,Squares,90,1707.250,0.000,-17.500,1689.750,0.000,1689.750
Strawberry Rhubarb Pie,Bread & Butter Bakery and Fine Pastries,pie,73,1795.750,-21.950,-87.850,1685.950,1.240,1687.190
Fruitcake,Bread & Butter Bakery and Fine Pastries,Cookies,102,1705.000,-6.600,-33.000,1665.400,0.000,1665.400
