product_title,variant_title,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Lemon Layer Cake,"8"" Serves 8-10",,54,2720.000,0.000,0.000,2720.000,0.000,2720.000
6 Hot Cross Buns,,,205,3105.000,-360.000,-30.000,2715.000,0.000,2715.000
Charcuterie Board,Large,,100,2689.000,0.000,-78.000,2611.000,87.880,2698.880
5 Course Valentine's Day Dinner for 2,2 Lamb Shank,,19,2375.000,0.000,0.000,2375.000,308.750,2683.750
Vanilla Vegan Cake,"6"" Serves 4-6",,77,2700.000,-34.000,-34.000,2632.000,0.000,2632.000
Scottish Shortbread,,,219,2664.850,-16.730,-47.800,2600.320,0.000,2600.320
Trifle Cake,"6"" / Buttercream",,78,2665.000,0.000,-67.000,2598.000,0.000,2598.000
Cookie Trays,2 Dozen,,61,2457.000,-32.000,-128.000,2297.000,279.970,2576.970
Apple Crumble Pie,"9""",,77,2658.000,0.000,-98.850,2559.150,0.000,2559.150
Vanilla Vegan Cake,"8"" Serves 8-10",,46,2585.000,-7.000,-55.000,2523.000,0.000,2523.000
Baked Fruit Tart,Raspberry Blackberry / Large,,106,2505.700,0.000,0.000,2505.700,0.000,2505.700
Cake Tasting Box,,,51,2668.000,-57.600,-144.000,2466.400,0.000,2466.400
Lemon Meringue Pie,"8""",,151,2586.400,-177.500,-15.950,2392.950,0.000,2392.950
6 Chocolate Chunk Cookies,,,232,2741.700,-357.380,-24.300,2360.020,0.000,2360.020
6 Banana Chocolate Chunk Muffins,,,131,2680.000,-47.850,-274.500,2357.650,0.000,2357.650
Trifle Cake,"6"" / Whipped Cream",,71,2534.000,-13.400,-169.000,2351.600,0.000,2351.600
Lemon Layer Cake,"6"" Serves 4-6",,68,2381.000,-13.400,-70.000,2297.600,0.000,2297.600
Quiche,"Broccoli & Cheddar / 8""",,89,2239.000,0.000,-23.500,2215.500,0.000,2215.500
6 Macarons,Mix of all 3 Flavours,,129,2546.750,-123.900,-208.450,2214.400,0.000,2214.400
Chocolate Cherry Cake,"8""",,44,2200.000,-48.000,0.000,2152.000,0.000,2152.000
6 Ginger Molasses Cookies,,,288,2323.300,-122.790,-55.600,2144.910,0.000,2144.910
Holiday Decorated Cupcakes - Pkg of 6,,,81,2442.000,-165.000,-135.000,2142.000,0.000,2142.000
Lunch Box - Individual,Egg Salad on Croissant,,121,1936.000,-64.000,0.000,1872.000,242.080,2114.080
Quiche,"Mushroom Swiss & Chive / 8""",,83,2172.500,-2.350,-102.000,2068.150,0.000,2068.150
Jam Filled Layer Cake,"6"" Serves 4-6",,62,2120.000,0.000,-64.000,2056.000,0.000,2056.000
Multigrain Sourdough,Sliced- Regular Slices,,276,2043.750,0.000,0.000,2043.750,0.000,2043.750
Cherry Pie,"8""",,127,2515.500,-416.840,-58.850,2039.810,0.000,2039.810
Chocolate Cream Pie,"8""",,94,2336.250,-276.450,-26.950,2032.850,0.000,2032.850
Blueberry Pie,"8""",,106,2275.450,-140.440,-110.750,2024.260,0.000,2024.260
White Chocolate Cheesecake - Choice of Fruit,"8"" Serves 8-10 / Raspberry",,39,2060.000,-9.600,-48.000,2002.400,0.000,2002.400
Pulla Bread,,,249,2240.000,-206.250,-35.000,1998.750,0.000,1998.750
"10"" Chocolate Tower Salted Caramel",,,22,2090.000,-95.000,0.000,1995.000,0.000,1995.000
Easter Cupcakes - Pack of 4,,,95,1822.000,-47.600,-36.000,1738.400,220.510,1958.910
Chocolate Cherry Cake,"6""",,59,1975.000,-19.200,0.000,1955.800,0.000,1955.800
Buttertarts,6 Tarts / Pecan,,88,2025.000,-31.500,-45.000,1948.500,0.000,1948.500
Appetizer Platter,,,54,2016.000,0.000,-72.000,1944.000,0.000,1944.000
Blueberry Pie,"9""",,67,1995.550,0.000,-55.900,1939.650,0.000,1939.650
Banana Bread,,,156,1937.150,0.000,-12.950,1924.200,0.000,1924.200
Lemon Cheesecake,"8"" Serves 8-10",,37,1964.000,0.000,-48.000,1916.000,0.000,1916.000
Dinner Rolls,White,,324,2138.500,-192.400,-32.500,1913.600,0.000,1913.600
Copy of Vanilla Buttercake,"10"" Serves 14-16",,28,1962.000,0.000,-72.000,1890.000,0.000,1890.000
Easter Basket Cake,,,47,1960.000,-8.000,-80.000,1872.000,0.000,1872.000
White Chocolate Cheesecake - Choice of Fruit,"6"" Serves 4-6 / Raspberry",,54,1864.000,0.000,0.000,1864.000,0.000,1864.000
Chocolate Cream Pie,"9""",,53,1867.250,0.000,-57.900,1809.350,0.000,1809.350
Local Cured Meats Platter,Large,,17,1908.000,-212.000,-106.000,1590.000,206.700,1796.700
Delivery Charge,,,144,1606.000,0.000,-22.000,1584.000,194.920,1778.920
Warm Spinach & Artichoke Dip,,,107,1665.000,-30.000,-60.000,1575.000,201.600,1776.600
$50 Gift card,,,35,1750.000,0.000,0.000,1750.000,0.000,1750.000
Lemon Cheesecake,"6"" Serves 4-6",,51,1816.000,-6.400,-64.000,1745.600,0.000,1745.600
Quiche,"Broccoli & Cheddar / 9""",,51,1750.500,-7.100,0.000,1743.400,0.000,1743.400
6 Oatmeal Raisin Cookies,,,168,1963.650,-210.900,-12.150,1740.600,0.000,1740.600
Chocolate Chip Cookie Cake,,,82,1830.700,-11.960,-79.800,1738.940,0.000,1738.940
6 Cheddar & Herb Scones,,,66,1817.750,0.000,-80.750,1737.000,0.000,1737.000
6 Sprinkle Shortbread,,,189,1798.000,-62.250,-9.000,1726.750,0.000,1726.750
6 Brownies,,,95,1886.000,-99.500,-87.500,1699.000,0.000,1699.000
Mac & Cheese,1 LB,,136,1771.250,0.000,-78.750,1692.500,0.000,1692.500
6 Raspberry Brownies,,,90,1707.250,0.000,-17.500,1689.750,0.000,1689.750
Caramel Chocolate Chunk Cheesecake,"10"" Serves 14-16",,24,1824.000,-6.500,-133.000,1684.500,0.000,1684.500
Quiche,"Mushroom Swiss & Chive / 9""",,50,1776.000,-34.140,-67.000,1674.860,0.000,1674.860
6 Pecan Citrus Scones,,,70,1784.750,-2.250,-135.000,1647.500,0.000,1647.500
Easter Dinner for 2,2 Stuffed Chicken,,18,1530.000,-85.000,0.000,1445.000,187.850,1632.850
8 Cup Plum Pudding,,,56,1653.000,0.000,-29.000,1624.000,0.000,1624.000
Cinnamon Buns- 4 pack,,,80,1726.500,-82.250,-47.500,1596.750,0.000,1596.750
Shepherds Pie,Small,,113,1633.000,0.000,-37.500,1595.500,0.000,1595.500
6 Lemon Squares,,,85,1641.500,-21.000,-35.000,1585.500,0.000,1585.500
Cherry Pie,"9""",,58,1613.050,0.000,-27.950,1585.100,0.000,1585.100
Copy of Vanilla Buttercake,Full Slab Serves 70,,6,1560.000,0.000,0.000,1560.000,0.000,1560.000
5 Course Valentine's Day Dinner for 2,1 Lamb Shank & 1 Eggplant Involtini,,12,1625.000,-125.000,-125.000,1375.000,178.750,1553.750
6 Blueberry Lemon Buns,,,55,1637.500,0.000,-86.500,1551.000,0.000,1551.000
